base	w3110	1931
base	o157	362666
base	ecoli_ind	12580
base	chr21_ind	113925
nudge	w3110	1917
nudge	o157	370176
nudge	ecoli_ind	12342
nudge	chr21_ind	112218
L6D12	o157	364670
L6D12	ecoli_ind	12281
L8D12	o157	362225
L8D12	ecoli_ind	12390
L5D4	o157	364467
L5D4	ecoli_ind	12461
L6D4	o157	362728
L6D4	ecoli_ind	12455
L8D4	o157	362120
L8D4	ecoli_ind	12517
L6D12	chr21_ind	110508
cue	w3110	1927
cue	o157	362182
cue	ecoli_ind	12179
cue	chr21_ind	104013
cue2	chr21_ind	104140
noroom	chr21_ind	104125
mf	chr21_ind	104007
mf_noroom	chr21_ind	104082
